Category1, Category2, Category3
automation-control-gear,process-control,counters
batteries-chargers,battery-chargers-power-banks,battery-chargers
cables-wires,computer-cable-assemblies,computer-power-cable-assemblies
automation-control-gear,sensors,sensor-accessories
switches,foot-switches-accessories,foot-switch-guard-covers
automation-control-gear,process-control,digital-panel-ammeters
lighting,light-fittings-luminaires,hazardous-area-light-fittings
pneumatics-hydraulics-power-transmission,hydraulic-tubing-hose,hydraulic-tubing
batteries-chargers,battery-charger-accessories,jump-leads
automation-control-gear,process-control,ammeters